"id";"customer_id";"order_date";"price";"cogs";"payment_method";"sku_name";"category";"qty_ordered";"before_discount";"discount_amount";"after_discount";"is_gross";"is_valid";"is_net";"brand"
"ODR9588677269c";"C350869L";"2022-07-21";412496.0;328106.0;"cod";"JBS_hcd-HON-020";"Home & Living";1;412496.0;0.0;412496.0;1;0;0;"others"
"ODR9589580030p";"C359192L";"2022-06-25";197200.0;149872.0;"cod";"BB_Red & Black Football Design Beanbag";"Home & Living";1;197200.0;0.0;197200.0;1;1;0;"others"
"ODR9590708500j";"C194353L";"2022-04-22";52142.0;50228.0;"cod";"PNG_Pampers_10003444-Hazir";"Superstore";2;104284.0;0.0;104284.0;1;1;1;"others"
"ODR9591922093h";"C840288L";"2022-03-21";74240.0;50460.0;"cod";"ziqi_Zn-808";"Kids & Baby";1;74240.0;0.0;74240.0;1;1;1;"others"
"ODR9592319596y";"C160389L";"2022-05-16";1890800.0;1205008.0;"Easypay";"Dawlance_9144-MDS";"Appliances";1;1890800.0;0.0;1890800.0;1;0;0;"others"
"ODR9592465207t";"C507202L";"2021-10-24";115942.0;74182.0;"cod";"emart_Tyre Shape Air Compressor";"Others";1;115942.0;0.0;115942.0;1;0;0;"others"
"ODR9596598506k";"C865004L";"2021-07-24";154280.0;121858.0;"cod";"SCIFI_Disney Beauty_SC4545PGP";"School & Education";1;154280.0;0.0;154280.0;1;1;1;"others"
"ODR9596788425v";"C853288L";"2022-09-01";400200.0;292146.0;"Payaxis";"nabila_Nlight FOR creamy";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;0;0;"others"
"ODR9598479944g";"C287376L";"2022-07-17";641132.0;438190.0;"cod";"GA_PM-200-137350";"Women Fashion";1;641132.0;0.0;641132.0;1;0;0;"others"
"ODR9603690300e";"C462580L";"2021-01-11";16820.0;12934.0;"cod";"BO_shovel-truck-orange";"Kids & Baby";1;16820.0;0.0;16820.0;1;1;1;"others"
"ODR9604896003v";"C872920L";"2022-04-16";3534520.0;2756914.0;"cod";"Samsung_40K5300";"Entertainment";1;3534520.0;0.0;3534520.0;1;1;0;"samsung"
"ODR9605127336h";"C374672L";"2022-10-05";4378942.0;3371772.0;"cod";"Samsung_RT39K5110SP";"Appliances";1;4378942.0;0.0;4378942.0;1;1;0;"samsung"
"ODR9605966951n";"C653184L";"2022-10-01";400200.0;292146.0;"cod";"nabila_Nlight FOR creamy";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;1;0;"others"
"ODR9606833771v";"C454136L";"2021-10-10";173710.0;135488.0;"cod";"UnzeLondon_GS4354-9";"Men Fashion";1;173710.0;0.0;173710.0;1;1;0;"others"
"ODR9611745456d";"C132488L";"2022-04-25";1333942.0;1160522.0;"Payaxis";"infinix_Zero 4-Grey";"Mobiles & Tablets";6;8003652.0;0.0;8003652.0;1;0;0;"others"
"ODR9613122691y";"C816773L";"2022-06-23";568400.0;409248.0;"cod";"seagate_STDR2000300-2TB";"Computing";1;568400.0;0.0;568400.0;1;1;1;"others"
"ODR9615242992u";"C883317L";"2022-07-04";377000.0;233740.0;"jazzwallet";"corio_JC 53-45";"Men Fashion";1;377000.0;0.0;377000.0;1;0;0;"others"
"ODR9615513622h";"C562005L";"2022-04-23";101500.0;75110.0;"cod";"GA_AJRAK T-200 - 114664";"Home & Living";1;101500.0;0.0;101500.0;1;1;1;"others"
"ODR9617079724r";"C791023L";"2021-10-12";202942.0;133922.0;"Payaxis";"Prime_PINKI-BLACK-M";"Women Fashion";1;202942.0;0.0;202942.0;1;1;1;"others"
"ODR9620817242n";"C535620L";"2022-04-01";382742.0;261870.0;"cod";"tmx_wtch_ T2E581_4";"Men Fashion";1;382742.0;0.0;382742.0;1;1;1;"others"
"ODR9620902318t";"C702933L";"2021-12-12";466784.0;359368.0;"Payaxis";"mm_AG-2098";"Appliances";1;466784.0;0.0;466784.0;1;0;0;"others"
"ODR9621785347u";"C414907L";"2022-07-31";6278326.0;4771486.0;"Payaxis";"iPhone7Plus-Jet Black-256GB";"Mobiles & Tablets";1;6278326.0;0.0;6278326.0;1;0;0;"apple"
"ODR9623545999y";"C165178L";"2022-09-04";29580.0;20996.0;"cod";"Al Muhafiz Sohan Halwa Walnut";"Soghaat";1;29580.0;0.0;29580.0;1;1;1;"others"
"ODR9624706440u";"C160960L";"2021-07-31";12180.0;8236.0;"cod";"HR_Bhujia 200g";"Soghaat";6;73080.0;0.0;73080.0;1;1;1;"others"
"ODR9625247382q";"C909114L";"2021-10-12";5150922.0;3760140.0;"Payaxis";"samsung_K6000 49  ";"Entertainment";1;5150922.0;0.0;5150922.0;1;0;0;"samsung"
"ODR9625975571x";"C574921L";"2021-04-11";150800.0;98020.0;"cod";"Life source_YD-24";"Health & Sports";1;150800.0;0.0;150800.0;1;1;0;"others"
"ODR9626731729h";"C171592L";"2022-03-28";50460.0;40832.0;"cod";"SN_ajwa400gm";"Soghaat";5;252300.0;0.0;252300.0;1;1;1;"others"
"ODR9626781139p";"C415020L";"2021-10-15";274920.0;183686.0;"mcblite";"GMZV_DualShock 4 Wireless Controller for PlayStation 4 - Jet Bla";"Entertainment";1;274920.0;0.0;274920.0;1;0;0;"others"
"ODR9628079279r";"C867333L";"2022-02-28";4436942.0;2839622.0;"cod";"Samsung_Samsung Air Conditioner Digital Inverter Series) - AR12K";"Appliances";1;4436942.0;0.0;4436942.0;1;1;0;"samsung"
"ODR9629024730m";"C239306L";"2021-08-29";271614.0;217268.0;"cod";"sanasafinaz_march16_1B-Nationwide Delivery";"Women Fashion";1;271614.0;0.0;271614.0;1;1;0;"others"
"ODR9630583329s";"C972737L";"2022-04-05";1513742.0;1316948.0;"cod";"Swatch_YIS405G";"Men Fashion";2;3027484.0;0.0;3027484.0;1;1;0;"others"
"ODR9635116086u";"C247649L";"2022-04-06";145000.0;104400.0;"Payaxis";"ss_WC-017-L";"Men Fashion";2;290000.0;0.0;290000.0;1;0;0;"others"
"ODR9635588949q";"C248905L";"2022-09-06";434420.0;295394.0;"customercredit";"Sapphire_US0679";"Women Fashion";1;434420.0;0.0;434420.0;1;1;0;"others"
"ODR9639246715h";"C601425L";"2022-04-06";81200.0;52780.0;"Easypay";"BO_Solar-LED-Rechargeable-Camping-Lantern - Yellow";"Home & Living";2;162400.0;0.0;162400.0;1;0;0;"others"
"ODR9639591969t";"C899734L";"2022-05-19";203580.0;154686.0;"Payaxis";"plk_DWI/ 952 069_71";"School & Education";1;203580.0;61074.0;142506.0;1;1;1;"others"
"ODR9639774179e";"C911330L";"2022-01-20";47154.0;45646.0;"cod";"stoner_91381 A";"Others";1;47154.0;0.0;47154.0;1;1;1;"others"
"ODR9639939509q";"C168628L";"2022-03-22";95700.0;64090.0;"cod";"oxford_9780199128181";"School & Education";1;95700.0;0.0;95700.0;1;1;1;"others"
"ODR9639997577g";"C992621L";"2022-08-02";5591780.0;4736918.0;"Payaxis";"iphone_7-128GB-wof-Jet Black";"Mobiles & Tablets";1;5591780.0;0.0;5591780.0;1;0;0;"apple"
"ODR9640721768y";"C616920L";"2022-03-20";115710.0;92568.0;"cod";"Paramount_9781444146509";"School & Education";1;115710.0;0.0;115710.0;1;1;1;"others"
"ODR9642196477w";"C642828L";"2021-09-12";74530.0;49184.0;"cod";"alrafa_Ajwa-Dates-400g";"Soghaat";1;74530.0;0.0;74530.0;1;1;1;"others"
"ODR9644472704d";"C481499L";"2021-12-28";1925600.0;1540480.0;"cod";"AmanJee_PB001";"Women Fashion";1;1925600.0;0.0;1925600.0;1;1;1;"others"
"ODR9645386037c";"C312859L";"2022-10-06";317550.0;220400.0;"Payaxis";"GFC_Bracket Myga Metal (Special Guard) 24""""";"Appliances";3;952650.0;0.0;952650.0;1;0;0;"others"
"ODR9645599128y";"C378684L";"2022-01-25";5228874.0;4287650.0;"cod";"HP_MFP M435nw (A3 Blk 3 in 1)";"Computing";1;5228874.0;0.0;5228874.0;1;1;1;"others"
"ODR9647212357f";"C127811L";"2022-02-19";150800.0;102544.0;"cod";"sinbo_7320";"Appliances";1;150800.0;0.0;150800.0;1;0;0;"others"
"ODR9648810727h";"C275711L";"2021-12-29";43500.0;30450.0;"cod";"Zia_363";"Books";1;43500.0;0.0;43500.0;1;1;0;"others"
"ODR9649665921k";"C940970L";"2022-05-23";400200.0;227070.0;"Easypay";"nabila_Nvite-fair-skin";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;0;0;"others"
"ODR9650380250b";"C887845L";"2022-01-18";162110.0;129688.0;"cod";"PMA_9789810117238";"School & Education";1;162110.0;0.0;162110.0;1;1;1;"others"
"ODR9652138549n";"C417708L";"2022-02-17";151554.0;92394.0;"cod";"edukaan_201314";"Kids & Baby";1;151554.0;0.0;151554.0;1;1;1;"others"
"ODR9652610981u";"C795657L";"2022-01-13";7482000.0;5312220.0;"Payaxis";"MACBOOK PRO 13-INCH 2.5GHZ 8GBDDR3L";"Computing";1;7482000.0;0.0;7482000.0;1;0;0;"apple"
"ODR9653473185i";"C374285L";"2022-07-02";28710.0;25520.0;"cod";"Paramount_9789694949888";"Books";1;28710.0;0.0;28710.0;1;1;1;"others"
"ODR9654618776e";"C755329L";"2022-05-19";4638840.0;4128556.0;"cod";"plk_FWI/ 953 620_8";"Men Fashion";1;4638840.0;0.0;4638840.0;1;1;0;"others"
"ODR9654843042h";"C127878L";"2021-09-30";2741370.0;2083012.0;"cod";"lenovo_80J2021CUE";"Computing";1;2741370.0;0.0;2741370.0;1;0;0;"lenovo"
"ODR9655990925n";"C525405L";"2021-06-08";1764070.0;1464268.0;"cod";"Eco Star_40U557";"Entertainment";1;1764070.0;0.0;1764070.0;1;0;0;"others"
"ODR9656401660l";"C231714L";"2022-01-19";88914.0;79982.0;"Payaxis";"edukaan_200923";"Kids & Baby";1;88914.0;0.0;88914.0;1;0;0;"others"
"ODR9657230054f";"C824702L";"2022-06-21";185542.0;133574.0;"cod";"Bata_8816275-Black-40";"Men Fashion";1;185542.0;0.0;185542.0;1;1;0;"others"
"ODR9658007643v";"C992621L";"2022-02-19";1333942.0;1160522.0;"Payaxis";"infinix_Zero 4-Grey";"Mobiles & Tablets";3;4001826.0;0.0;4001826.0;1;1;1;"others"
"ODR9658081329r";"C481253L";"2021-07-20";16530.0;11194.0;"cod";"UK_Habshi Halwa Tin Pack 400 Gms";"Soghaat";7;115710.0;0.0;115710.0;1;1;1;"others"
"ODR9658462604y";"C331675L";"2021-12-22";2783942.0;2338502.0;"cod";"Samsung_Samsung 40 Inch J5000 Full HD LED TV";"Entertainment";1;2783942.0;0.0;2783942.0;1;0;0;"samsung"
"ODR9659542791x";"C370725L";"2021-11-09";17110.0;12818.0;"cod";"Paramount_9789694949703";"Books";1;17110.0;0.0;17110.0;1;1;1;"others"
"ODR9660042149f";"C698097L";"2021-12-30";5597000.0;3787632.0;"cod";"Apple iPhone 6S Plus 16GB Silver";"Mobiles & Tablets";1;5597000.0;0.0;5597000.0;1;1;1;"apple"
"ODR9661132728z";"C518179L";"2022-02-01";58000.0;26332.0;"cod";"snap_Snap Car-care Kit";"Superstore";1;58000.0;0.0;58000.0;1;1;1;"others"
"ODR9662204511k";"C676102L";"2021-09-13";26390.0;22678.0;"internetbanking";"RS_Gulab jaman Tin";"Soghaat";1;26390.0;0.0;26390.0;1;0;0;"others"
"ODR9662296212f";"C724757L";"2021-02-10";87000.0;71340.0;"Payaxis";"BFV_Black Friday voucher Rs  1500";"Others";1;87000.0;0.0;87000.0;1;0;0;"others"
"ODR9663076981b";"C363738L";"2022-07-25";8700000.0;5481000.0;"Payaxis";"MACBOOK PRO 13-INCH 2.7GHZ";"Computing";2;17400000.0;0.0;17400000.0;1;1;0;"apple"
